# Complete English Dictionary
# Generated from unified common-phrases files
# Total words: 336
# 
# Translation column blank by design (Option 2 semantics).
# Format: word | translation | [ipa]

a |  | [ˈeɪ]
accept |  | [ɐksˈɛpt]
account |  | [ɐkˈaʊnt]
address |  | [ɐdɹˈɛs]
advancement |  | [ɐdvˈansmənt]
agreed |  | [ɐɡɹˈiːd]
ahead |  | [ɐhˈɛd]
air |  | [ˈeə]
all |  | [ˈɔːl]
allergic |  | [ɐlˈɜːdʒɪk]
already |  | [ɔːlɹˈɛdi]
always |  | [ˈɔːlweɪz]
am |  | [ˈam]
amount |  | [ɐmˈaʊnt]
an |  | [ˈɐn]
and |  | [ˈand]
another |  | [ɐnˈʌðə]
apartment |  | [ɐpˈɑːtmənt]
appointment |  | [ɐpˈɔɪntmənt]
are |  | [ˈɑː]
at |  | [ˈat]
atm |  | [ˌeɪtˌiːˈɛm]
authorization |  | [ˌɔːθəɹaɪzˈeɪʃən]
availability |  | [ɐvˌeɪləbˈɪlɪti]
available |  | [ɐvˈeɪləbəl]
back |  | [bˈak]
bad |  | [bˈad]
bag |  | [bˈaɡ]
balance |  | [bˈaləns]
bank |  | [bˈaŋk]
be |  | [bˈiː]
beach |  | [bˈiːtʃ]
been |  | [bˈiːn]
better |  | [bˈɛtə]
bill |  | [bˈɪl]
birthday |  | [bˈɜːθdeɪ]
bless |  | [blˈɛs]
bread |  | [bɹˈɛd]
breakfast |  | [bɹˈɛkfəst]
bus |  | [bˈʌs]
butter |  | [bˈʌtə]
buy |  | [bˈaɪ]
by |  | [bˈaɪ]
bye |  | [bˈaɪ]
call |  | [kˈɔːl]
can |  | [kˈan]
cancel |  | [kˈansəl]
cancellation |  | [kˌansɪlˈeɪʃən]
cancelled |  | [kˈansəld]
card |  | [kˈɑːd]
cards |  | [kˈɑːdz]
careful |  | [kˈeəfəl]
cat |  | [kˈat]
certainly |  | [sˈɜːtənli]
change |  | [tʃˈeɪndʒ]
check |  | [tʃˈɛk]
cheers |  | [tʃˈiəz]
christmas |  | [kɹˈɪsməs]
claim |  | [klˈeɪm]
code |  | [kˈəʊd]
coffee |  | [kˈɒfɪ]
cold |  | [kˈəʊld]
color |  | [kˈʌlə]
come |  | [kˈʌm]
coming |  | [kˈʌmɪŋ]
complaint |  | [kəmplˈeɪnt]
conditioning |  | [kəndˈɪʃənɪŋ]
confirm |  | [kənfˈɜːm]
confirmation |  | [kɒnfəmˈeɪʃən]
congratulations |  | [kənɡɹˈatʃʊlˈeɪʃənz]
contact |  | [kˈɒntakt]
cool |  | [kˈuːl]
cost |  | [kˈɒst]
coughing |  | [kˈɒfɪŋ]
could |  | [kˈʊd]
course |  | [kˈɔːs]
covered |  | [kˈʌvəd]
credit |  | [kɹˈɛdɪt]
day |  | [dˈeɪ]
deductible |  | [dɪdˈʌktəbəl]
delicious |  | [dɪlˈɪʃəs]
deposit |  | [dɪpˈɒsɪt]
didn't |  | [dˈɪdnt]
direct |  | [daɪɹˈɛkt]
discount |  | [dˈɪskaʊnt]
do |  | [dˈuː]
doctor |  | [dˈɒktə]
documents |  | [dˈɒkjuːmənts]
does |  | [dˈʌz]
