# English words from common-phrases-001.json
# Level: A
# Total unique words: 93
# 
# Translation column blank by design (Option 2 semantics).
# Format: word | translation | [ipa]

a |  | [ˈeɪ]
agreed |  | [ɐɡɹˈiːd]
all |  | [ˈɔːl]
and |  | [ˈand]
are |  | [ˈɑː]
bad |  | [bˈad]
better |  | [bˈɛtə]
birthday |  | [bˈɜːθdeɪ]
bless |  | [blˈɛs]
bye |  | [bˈaɪ]
careful |  | [kˈeəfəl]
certainly |  | [sˈɜːtənli]
cheers |  | [tʃˈiəz]
christmas |  | [kɹˈɪsməs]
coming |  | [kˈʌmɪŋ]
congratulations |  | [kənɡɹˈatʃʊlˈeɪʃənz]
course |  | [kˈɔːs]
day |  | [dˈeɪ]
don't |  | [dˈəʊnt]
enjoy |  | [ɛndʒˈɔɪ]
evening |  | [ˈiːvnɪŋ]
everything |  | [ˈɛvɹɪθˌɪŋ]
excuse |  | [ɛkskjˈuːs]
f |  | [ˈɛf]
fine |  | [fˈaɪn]
formal |  | [fˈɔːməl]
gladly |  | [ɡlˈadli]
go |  | [ɡˈəʊ]
good |  | [ɡˈʊd]
goodbye |  | [ɡʊdbˈaɪ]
hang |  | [hˈaŋ]
happy |  | [hˈapi]
have |  | [hˈav]
hello |  | [həlˈəʊ]
here |  | [hˈiə]
hi |  | [hˈaɪ]
how |  | [hˈaʊ]
i |  | [ˈaɪ]
i'm |  | [ˈaɪm]
in |  | [ˈɪn]
informal |  | [ɪnfˈɔːməl]
is |  | [ˈɪz]
it |  | [ˈɪt]
it's |  | [ˈɪts]
know |  | [nˈəʊ]
let's |  | [lˈɛts]
luck |  | [lˈʌk]
m |  | [ˈɛm]
maybe |  | [mˈeɪbiː]
me |  | [mˈiː]
meal |  | [mˈiːl]
meet |  | [mˈiːt]
merry |  | [mˈɛɹi]
mind |  | [mˈaɪnd]
moment |  | [mˈəʊmənt]
much |  | [mˈʌtʃ]
never |  | [nˈɛvə]
new |  | [njˈuː]
nice |  | [nˈaɪs]
night |  | [nˈaɪt]
no |  | [nˈəʊ]
not |  | [nˈɒt]
of |  | [ˈɒv]
okay |  | [əʊkˈeɪ]
one |  | [wˈɒn]
out |  | [ˈaʊt]
pardon |  | [pˈɑːdən]
please |  | [plˈiːz]
pleasure |  | [plˈɛʒə]
second |  | [sˈɛkənd]
see |  | [sˈiː]
so |  | [sˈəʊ]
soon |  | [sˈuːn]
sorry |  | [sˈɒɹi]
thank |  | [θˈaŋk]
that's |  | [ðˈats]
the |  | [ðˈə]
there |  | [ðˈeə]
to |  | [tˈuː]
tomorrow |  | [təmˈɒɹəʊ]
too |  | [tˈuː]
trip |  | [tɹˈɪp]
very |  | [vˈɛɹɪ]
watch |  | [wˈɒtʃ]
welcome |  | [wˈɛlkʌm]
well |  | [wˈɛl]
willingly |  | [wˈɪlɪŋlɪ]
with |  | [wˈɪð]
year |  | [jˈiə]
yes |  | [jˈɛs]
you |  | [jˈuː]
you're |  | [jˈɔː]
your |  | [jˈɔː]
