# English words from common-phrases-004.json
# Level: C
# Total unique words: 141
# 
# Translation column blank by design (Option 2 semantics).
# Format: word | translation | [ipa]

a |  | [ˈeɪ]
accept |  | [ɐksˈɛpt]
air |  | [ˈeə]
allergic |  | [ɐlˈɜːdʒɪk]
another |  | [ɐnˈʌðə]
at |  | [ˈat]
available |  | [ɐvˈeɪləbəl]
bag |  | [bˈaɡ]
beach |  | [bˈiːtʃ]
bill |  | [bˈɪl]
birthday |  | [bˈɜːθdeɪ]
bread |  | [bɹˈɛd]
breakfast |  | [bɹˈɛkfəst]
bus |  | [bˈʌs]
butter |  | [bˈʌtə]
buy |  | [bˈaɪ]
by |  | [bˈaɪ]
call |  | [kˈɔːl]
can |  | [kˈan]
card |  | [kˈɑːd]
cards |  | [kˈɑːdz]
change |  | [tʃˈeɪndʒ]
coffee |  | [kˈɒfɪ]
cold |  | [kˈəʊld]
color |  | [kˈʌlə]
conditioning |  | [kəndˈɪʃənɪŋ]
coughing |  | [kˈɒfɪŋ]
credit |  | [kɹˈɛdɪt]
day |  | [dˈeɪ]
delicious |  | [dɪlˈɪʃəs]
direct |  | [daɪɹˈɛkt]
discount |  | [dˈɪskaʊnt]
do |  | [dˈuː]
doctor |  | [dˈɒktə]
does |  | [dˈʌz]
doesn't |  | [dˈʌzənt]
eat |  | [ˈiːt]
english |  | [ˈɪŋɡlɪʃ]
expensive |  | [ɛkspˈɛnsɪv]
f |  | [ˈɛf]
feel |  | [fˈiːl]
fever |  | [fˈiːvə]
food |  | [fˈuːd]
for |  | [fˈɔː]
free |  | [fɹˈiː]
gift |  | [ɡˈɪft]
gluten |  | [ɡlˈuːtən]
going |  | [ɡˈəʊɪŋ]
good |  | [ɡˈʊd]
happy |  | [hˈapi]
have |  | [hˈav]
headache |  | [hˈɛdeɪk]
hot |  | [hˈɒt]
how |  | [hˈaʊ]
i |  | [ˈaɪ]
i'll |  | [ˈaɪl]
i'm |  | [ˈaɪm]
in |  | [ˈɪn]
included |  | [ɪnklˈuːdɪd]
is |  | [ˈɪz]
it |  | [ˈɪt]
it's |  | [ˈɪts]
keep |  | [kˈiːp]
key |  | [kˈiː]
larger |  | [lˈɑːdʒə]
late |  | [lˈeɪt]
later |  | [lˈeɪtə]
leave |  | [lˈiːv]
like |  | [lˈaɪk]
looking |  | [lˈʊkɪŋ]
lost |  | [lˈɒst]
lot |  | [lˈɒt]
m |  | [ˈɛm]
many |  | [mˈɛni]
me |  | [mˈiː]
menu |  | [mˈɛnjuː]
milk |  | [mˈɪlk]
my |  | [mˈaɪ]
nearest |  | [nˈiəɹəst]
need |  | [nˈiːd]
night |  | [nˈaɪt]
nights |  | [nˈaɪts]
no |  | [nˈəʊ]
o'clock |  | [əklˈɒk]
on |  | [ˈɒn]
one |  | [wˈɒn]
or |  | [ˈɔː]
paris |  | [pˈaɹɪs]
passport |  | [pˈaspɔːt]
pay |  | [pˈeɪ]
peanuts |  | [pˈiːnʌts]
people |  | [pˈiːpəl]
per |  | [pˈɜː]
pharmacy |  | [fˈɑːməsi]
please |  | [plˈiːz]
police |  | [pəlˈiːs]
prescription |  | [pɹɪskɹˈɪpʃən]
price |  | [pɹˈaɪs]
recommend |  | [ɹˌɛkəmˈɛnd]
room |  | [ɹˈuːm]
round |  | [ɹˈaʊnd]
sale |  | [sˈeɪl]
see |  | [sˈiː]
service |  | [sˈɜːvɪs]
seven |  | [sˈɛvən]
show |  | [ʃˈəʊ]
sick |  | [sˈɪk]
size |  | [sˈaɪz]
sparkling |  | [spˈɑːklɪŋ]
station |  | [stˈeɪʃən]
still |  | [stˈɪl]
stolen |  | [stˈəʊlən]
stomachache |  | [stˈʌməkˌeɪk]
stop |  | [stˈɒp]
table |  | [tˈeɪbəl]
the |  | [ðˈə]
there |  | [ðˈeə]
there's |  | [ðˈeəz]
ticket |  | [tˈɪkɪt]
time |  | [tˈaɪm]
to |  | [tˈuː]
too |  | [tˈuː]
train |  | [tɹˈeɪn]
trip |  | [tɹˈɪp]
try |  | [tɹˈaɪ]
two |  | [tˈuː]
vegetarian |  | [vˌɛdʒɪtˈeəɹiən]
very |  | [vˈɛɹɪ]
wake |  | [wˈeɪk]
was |  | [wˈɒz]
water |  | [wˈɔːtə]
way |  | [wˈeɪ]
weather |  | [wˈɛðə]
weekend |  | [wiːkˈɛnd]
what |  | [wˈɒt]
where |  | [wˈeə]
with |  | [wˈɪð]
work |  | [wˈɜːk]
would |  | [wˈʊd]
wrap |  | [ɹˈap]
you |  | [jˈuː]
